ins_addr,mnemonic,op_str,global_off,context
0x1578,push,word ptr [0x5b80],0x5b80,0x1570:push word ptr [0x5b84] || 0x1574:push word ptr [0x5b80] || 0x1578:push word ptr [0x5b80] || 0x157c:push word ptr [bp + 6] || 0x157f:push cs
0x158d,cmp,"word ptr [0x5b66], dx",0x5b66,"0x1586:mov ax, word ptr [0x92] || 0x1589:mov dx, word ptr [0x94] || 0x158d:cmp word ptr [0x5b66], dx || 0x1591:ja 0x15b5 || 0x1593:jb 0x159b"
0x1595,cmp,"word ptr [0x5b64], ax",0x5b64,"0x1591:ja 0x15b5 || 0x1593:jb 0x159b || 0x1595:cmp word ptr [0x5b64], ax || 0x1599:jae 0x15b5 || 0x159b:push dx"
0x159d,push,word ptr [0x5b66],0x5b66,0x159b:push dx || 0x159c:push ax || 0x159d:push word ptr [0x5b66] || 0x15a1:push word ptr [0x5b64] || 0x15a5:push ds
0x15a1,push,word ptr [0x5b64],0x5b64,0x159c:push ax || 0x159d:push word ptr [0x5b66] || 0x15a1:push word ptr [0x5b64] || 0x15a5:push ds || 0x15a6:push 0xba6
0x15b5,mov,"ax, word ptr [0x5b60]",0x5b60,"0x15ae:add sp, 0xc || 0x15b1:inc word ptr [0xa0] || 0x15b5:mov ax, word ptr [0x5b60] || 0x15b8:cmp word ptr [bp - 2], ax || 0x15bb:je 0x15d1"
0x15d1,mov,"ax, word ptr [0x5b62]",0x5b62,"0x15ca:add sp, 8 || 0x15cd:inc word ptr [0xa0] || 0x15d1:mov ax, word ptr [0x5b62] || 0x15d4:cmp word ptr [bp - 4], ax || 0x15d7:je 0x15ed"
0x1632,cmp,"word ptr [0x5b82], ax",0x5b82,"0x162b:inc word ptr [0xa0] || 0x162f:mov ax, word ptr [0x9a] || 0x1632:cmp word ptr [0x5b82], ax || 0x1636:je 0x164d || 0x1638:push ax"
0x1639,push,word ptr [0x5b82],0x5b82,0x1636:je 0x164d || 0x1638:push ax || 0x1639:push word ptr [0x5b82] || 0x163d:push ds || 0x163e:push 0xc22
0x1aae,mov,"al, byte ptr [0x5b68]",0x5b68,"0x1aab:jmp 0x1ab4 || 0x1aad:nop  || 0x1aae:mov al, byte ptr [0x5b68] || 0x1ab1:and ax, 1 || 0x1ab4:mov word ptr [bp - 2], ax"
0x1ac6,push,word ptr [0x5b72],0x5b72,0x1ac1:push 0 || 0x1ac3:push word ptr [bp - 0x16] || 0x1ac6:push word ptr [0x5b72] || 0x1aca:push word ptr [0x5b70] || 0x1ace:push word ptr [bp + 6]
0x1aca,push,word ptr [0x5b70],0x5b70,"0x1ac3:push word ptr [bp - 0x16] || 0x1ac6:push word ptr [0x5b72] || 0x1aca:push word ptr [0x5b70] || 0x1ace:push word ptr [bp + 6] || 0x1ad1:lcall 0x2f7, 0x24c"
0x20f8,mov,"al, byte ptr [0x5b68]",0x5b68,"0x20f3:mov ax, word ptr [0x9e] || 0x20f6:jmp 0x20fe || 0x20f8:mov al, byte ptr [0x5b68] || 0x20fb:and ax, 1 || 0x20fe:mov word ptr [bp - 8], ax"
0x210b,mov,"ax, word ptr [0x5b78]",0x5b78,"0x2106:push word ptr [bp - 8] || 0x2109:push 0 || 0x210b:mov ax, word ptr [0x5b78] || 0x210e:sub dx, dx || 0x2110:add ax, word ptr [bp - 4]"
0x2118,push,word ptr [0x5b72],0x5b72,0x2116:push dx || 0x2117:push ax || 0x2118:push word ptr [0x5b72] || 0x211c:push word ptr [0x5b70] || 0x2120:push word ptr [bp + 6]
0x211c,push,word ptr [0x5b70],0x5b70,"0x2117:push ax || 0x2118:push word ptr [0x5b72] || 0x211c:push word ptr [0x5b70] || 0x2120:push word ptr [bp + 6] || 0x2123:lcall 0x2f7, 0x24c"
0x2212,mov,"di, word ptr [0x5b68]",0x5b68,"0x220c:mov word ptr [bp - 0x1c], cx || 0x220f:mov word ptr [bp - 0x10], cx || 0x2212:mov di, word ptr [0x5b68] || 0x2216:and di, 0x8000 || 0x221a:mov es, dx"
0x2263,push,word ptr [0x5b44],0x5b44,"0x225e:add sp, 0xc || 0x2261:push 0 || 0x2263:push word ptr [0x5b44] || 0x2267:push 0 || 0x2269:push word ptr [0x5b40]"
0x2269,push,word ptr [0x5b40],0x5b40,"0x2263:push word ptr [0x5b44] || 0x2267:push 0 || 0x2269:push word ptr [0x5b40] || 0x226d:les bx, ptr [bp - 4] || 0x2270:push word ptr es:[bx + 0x2a]"
0x2454,push,word ptr [0x5b44],0x5b44,"0x244f:add sp, 0xc || 0x2452:push 0 || 0x2454:push word ptr [0x5b44] || 0x2458:push 0 || 0x245a:push word ptr [0x5b40]"
0x245a,push,word ptr [0x5b40],0x5b40,"0x2454:push word ptr [0x5b44] || 0x2458:push 0 || 0x245a:push word ptr [0x5b40] || 0x245e:les bx, ptr [bp - 4] || 0x2461:push word ptr es:[bx + 0x36]"
0x2642,mov,"ch, byte ptr [0x5b69]",0x5b69,"0x263c:mov word ptr [bp - 0x2c], cx || 0x263f:inc word ptr [bp + 0x12] || 0x2642:mov ch, byte ptr [0x5b69] || 0x2646:and cx, 0x8000 || 0x264a:mov word ptr [bp - 0x1e], cx"
0x26a5,mov,"al, byte ptr [0x5b68]",0x5b68,"0x26a1:nop  || 0x26a2:mov word ptr [bp - 4], bx || 0x26a5:mov al, byte ptr [0x5b68] || 0x26a8:and ax, 1 || 0x26ab:mov word ptr [bp - 2], ax"
0x26be,push,word ptr [0x5b72],0x5b72,0x26b8:push word ptr [bp - 0x10] || 0x26bb:push word ptr [bp - 0x12] || 0x26be:push word ptr [0x5b72] || 0x26c2:push word ptr [0x5b70] || 0x26c6:push word ptr [bp + 6]
